\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
53  &  0.548 &   0.429 &   0.848 &   0.628 &  0.541 &  0.188770 \\
38  &   0.42 &   0.381 &   0.798 &   0.834 &  0.511 &  0.183902 \\
75  &   0.76 &   0.397 &   0.217 &    0.48 &  0.962 &  0.145573 \\
73  &   0.73 &   0.993 &   0.395 &   0.877 &  0.932 &  0.140271 \\
30  &  0.333 &   0.751 &   0.919 &   0.422 &  0.687 &  0.136150 \\
24  &  0.285 &   0.955 &   0.307 &   0.707 &  0.796 &  0.135138 \\
70  &  0.688 &    0.69 &   0.964 &    0.39 &  0.835 &  0.134924 \\
92  &  0.931 &    0.37 &   0.611 &   0.557 &  0.968 &  0.133636 \\
74  &  0.745 &   0.334 &   0.071 &   0.503 &  0.951 &  0.132582 \\
43  &   0.44 &    0.79 &   0.652 &   0.069 &  0.745 &  0.130201 \\
57  &  0.583 &   0.672 &   0.061 &   0.696 &  0.808 &  0.128838 \\
18  &  0.221 &   0.959 &    0.96 &   0.663 &  0.602 &  0.128229 \\
49  &  0.505 &   0.315 &   0.631 &   0.497 &  0.697 &  0.127306 \\
48  &  0.501 &   0.364 &   0.917 &   0.508 &  0.637 &  0.127051 \\
46  &  0.447 &   0.583 &   0.573 &   0.892 &  0.839 &  0.125872 \\
26  &  0.307 &   0.652 &   0.157 &   0.097 &  0.522 &  0.125719 \\
103 &  0.998 &   0.728 &   0.499 &   0.702 &  0.723 &  0.125639 \\
88  &  0.879 &   0.571 &   0.492 &    0.01 &  0.725 &  0.124842 \\
40  &  0.432 &   0.599 &   0.254 &   0.848 &   0.76 &  0.124728 \\
19  &  0.237 &   0.456 &   0.612 &   0.893 &  0.964 &  0.124709 \\
32  &  0.358 &   0.499 &   0.662 &   0.694 &  0.583 &  0.124538 \\
100 &  0.989 &   0.774 &    0.91 &   0.066 &  0.659 &  0.124242 \\
35  &  0.393 &   0.666 &   0.925 &   0.216 &  0.672 &  0.123263 \\
37  &  0.419 &   0.888 &   0.013 &   0.982 &   0.77 &  0.123187 \\
42  &  0.434 &   0.578 &   0.419 &   0.554 &  0.765 &  0.122640 \\
5   &  0.031 &   0.176 &   0.133 &   0.968 &  0.431 &  0.122477 \\
60  &  0.605 &   0.932 &   0.581 &   0.643 &  0.431 &  0.122305 \\
34  &  0.371 &   0.835 &   0.865 &   0.163 &  0.626 &  0.122187 \\
16  &  0.199 &   0.273 &   0.829 &   0.557 &  0.621 &  0.120444 \\
4   &  0.028 &   0.063 &   0.429 &   0.075 &  0.895 &  0.119873 \\
7   &  0.065 &   0.406 &   0.526 &   0.826 &  0.798 &  0.119838 \\
87  &  0.872 &    0.99 &   0.295 &   0.891 &  0.632 &  0.119677 \\
50  &  0.506 &   0.549 &   0.937 &   0.224 &  0.506 &  0.119491 \\
25  &  0.302 &   0.542 &   0.009 &   0.012 &   0.61 &  0.116667 \\
13  &  0.138 &   0.939 &    0.53 &   0.218 &  0.375 &  0.116640 \\
39  &  0.424 &   0.421 &   0.928 &   0.987 &  0.592 &  0.115981 \\
6   &  0.042 &   0.809 &   0.795 &   0.811 &  0.885 &  0.115726 \\
23  &  0.271 &   0.706 &   0.186 &   0.355 &   0.67 &  0.115248 \\
11  &  0.129 &   0.599 &   0.965 &   0.384 &  0.355 &  0.114361 \\
51  &  0.529 &    0.99 &   0.684 &    0.31 &   0.38 &  0.113023 \\
15  &  0.181 &    0.58 &   0.873 &   0.518 &   0.29 &  0.113016 \\
3   &      0 &       1 &       0 &       0 &      0 &  0.112824 \\
\bottomrule
\end{tabular}
