\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
52  &  0.439 &    0.65 &    0.72 &   0.655 &  0.687 &  0.172492 \\
24  &  0.201 &   0.938 &   0.496 &    0.77 &  0.436 &  0.168692 \\
69  &   0.62 &   0.455 &   0.872 &   0.123 &  0.933 &  0.163028 \\
9   &  0.088 &   0.722 &   0.958 &   0.689 &  0.378 &  0.154206 \\
46  &  0.356 &   0.957 &   0.772 &   0.777 &  0.529 &  0.150179 \\
39  &    0.3 &   0.971 &   0.214 &   0.553 &  0.535 &  0.146385 \\
34  &  0.277 &    0.83 &   0.819 &   0.469 &  0.458 &  0.146004 \\
91  &  0.873 &    0.89 &   0.835 &   0.515 &  0.939 &  0.143636 \\
17  &  0.164 &   0.778 &   0.164 &   0.708 &   0.72 &  0.131582 \\
26  &  0.221 &   0.898 &   0.726 &   0.621 &  0.966 &  0.130878 \\
11  &  0.099 &   0.906 &   0.912 &   0.545 &  0.908 &  0.130581 \\
27  &  0.225 &   0.704 &   0.035 &   0.158 &  0.536 &  0.129377 \\
36  &  0.286 &   0.935 &   0.373 &   0.667 &  0.829 &  0.125439 \\
28  &  0.237 &   0.529 &   0.404 &   0.009 &  0.564 &  0.119194 \\
25  &  0.201 &   0.961 &   0.296 &   0.728 &  0.584 &  0.117996 \\
75  &  0.707 &   0.899 &   0.095 &     0.3 &  0.958 &  0.117687 \\
7   &  0.044 &   0.873 &   0.637 &   0.269 &  0.714 &  0.116405 \\
41  &   0.31 &   0.865 &   0.575 &   0.093 &  0.996 &  0.114334 \\
6   &  0.044 &   0.559 &   0.205 &   0.427 &  0.893 &  0.114216 \\
30  &  0.247 &   0.727 &   0.769 &   0.079 &   0.42 &  0.113946 \\
2   &      0 &       0 &       1 &       0 &      0 &  0.113489 \\
3   &      0 &       1 &       0 &       0 &      0 &  0.113239 \\
\bottomrule
\end{tabular}
